architecture_version,viewer_key,catalog_generation,grade_code,title_core,html_status,x_js_discovered,x_js_status,ag_pages_signal,ag_clave_signal,claves_json_signal,magazine_js_signal,standard_dynamic_architecture,source_url
LTMD_U1_W10_ARCHITECTURE_0.1,H1993P3HI173,1993,3,Morelos. Historia y Geografía,200,1,200,1,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI173.htm
LTMD_U1_W10_ARCHITECTURE_0.1,H1993P3HI174,1993,3,Nayarit. Historia y Geografía,200,1,200,1,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI174.htm
LTMD_U1_W10_ARCHITECTURE_0.1,H1993P3HI175,1993,3,Nuevo León. Historia y Geografía,200,1,200,1,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI175.htm
LTMD_U1_W10_ARCHITECTURE_0.1,H1993P3HI176,1993,3,Oaxaca. Historia y Geografía,200,1,200,1,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI176.htm
LTMD_U1_W10_ARCHITECTURE_0.1,H1993P3HI177,1993,3,Puebla. Historia y Geografía,200,1,200,1,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI177.htm
LTMD_U1_W10_ARCHITECTURE_0.1,H1993P3HI178,1993,3,Querétaro. Historia y Geografía,200,1,200,1,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI178.htm
LTMD_U1_W10_ARCHITECTURE_0.1,H1993P3HI179,1993,3,Quintana Roo. Historia y Geografía,200,1,200,1,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI179.htm
LTMD_U1_W10_ARCHITECTURE_0.1,H1993P3HI180,1993,3,San Luis Potosí. Historia y Geografía,200,1,200,1,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI180.htm
LTMD_U1_W10_ARCHITECTURE_0.1,H1993P3HI181,1993,3,Sinaloa. Historia y Geografía,200,1,200,1,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI181.htm
LTMD_U1_W10_ARCHITECTURE_0.1,H1993P3HI182,1993,3,Sonora. Historia y Geografía,200,1,200,1,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI182.htm
LTMD_U1_W10_ARCHITECTURE_0.1,H1993P3HI183,1993,3,Tabasco. Historia y Geografía,200,1,200,1,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI183.htm
LTMD_U1_W10_ARCHITECTURE_0.1,H1993P3HI184,1993,3,Tamaulipas. Historia y Geografía,200,1,200,1,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI184.htm
LTMD_U1_W10_ARCHITECTURE_0.1,H1993P3HI185,1993,3,Tlaxcala. Historia y Geografía,200,1,200,1,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI185.htm
LTMD_U1_W10_ARCHITECTURE_0.1,H1993P3HI186,1993,3,Veracruz. Historia y Geografía,200,1,200,1,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI186.htm
LTMD_U1_W10_ARCHITECTURE_0.1,H1993P3HI187,1993,3,Yucatán. Historia y Geografía,200,1,200,1,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI187.htm
LTMD_U1_W10_ARCHITECTURE_0.1,H1993P3HI188,1993,3,Zacatecas. Historia y Geografía,200,1,200,1,1,1,1,1,https://historico.conaliteg.gob.mx/H1993P3HI188.htm
LTMD_U1_W10_ARCHITECTURE_0.1,H2008P1CI249,2008,1,EXPLORACION DE LA NATURALEZA Y LA SOCIEDAD,200,1,200,1,1,1,1,1,https://historico.conaliteg.gob.mx/H2008P1CI249.htm
LTMD_U1_W10_ARCHITECTURE_0.1,H2011P1CI293,2011,1,EXPLORACIÓN DE LA NATURALEZA Y LA SOCIEDAD,200,1,200,1,1,1,1,1,https://historico.conaliteg.gob.mx/H2011P1CI293.htm
LTMD_U1_W10_ARCHITECTURE_0.1,H2011P2CI300,2011,2,EXPLORACIÓN DE LA NATURALEZA Y LA SOCIEDAD,200,1,200,1,1,1,1,1,https://historico.conaliteg.gob.mx/H2011P2CI300.htm
LTMD_U1_W10_ARCHITECTURE_0.1,H2014P1ENA,2014,1,Exploración de la Naturaleza y la Sociedad,200,1,200,1,1,1,1,1,https://historico.conaliteg.gob.mx/H2014P1ENA.htm
LTMD_U1_W10_ARCHITECTURE_0.1,H2014P2ENA,2014,2,Exploración de la Naturaleza y la Sociedad,200,1,200,1,1,1,1,1,https://historico.conaliteg.gob.mx/H2014P2ENA.htm
